metadata_schema_version,field_path,field_role,source_api,source_field,availability_stage,publication_basis,publication_basis_refs,exception_rule,validation_status,validation_evidence,operational_status,train_inference_flag,join_key,value_type,mutable_after_publish,owner,last_verified_at,notes
prerace-field-metadata-v1,cancelled_horses,source,API9_1,item[],L0 snapshot,출전취소 정보는 pre-cutoff 최신 snapshot만 운영 사용 가능,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py"", ""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",cancelled_horses[] 전체는 cutoff 이전 snapshot만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_SNAPSHOT_ONLY,,array,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].training,source,API329,item[],L0 snapshot,조교 현황은 cutoff 이전 snapshot이 남아 있을 때만 허용,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",training 블록 및 파생치는 snapshot 고정값만 허용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md"", ""packages/scripts/feature_engineering.py"", ""packages/scripts/shared/db_client.py""]",조건부 허용,ALLOW_SNAPSHOT_ONLY,,object,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].hrDetail,source,API8_2,item,L-1,말 상세는 사전 정보지만 과거 재조회 시 최신 상태로 바뀔 수 있다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",당시 저장본만 허용하고 사후 재조회값은 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,horses[].chul_no,object,재조회 의존,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].jkDetail,source,API12_1,item,L-1,기수 상세는 사전 정보지만 과거 재조회 시 최신 상태로 바뀔 수 있다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",당시 저장본만 허용하고 사후 재조회값은 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,horses[].chul_no,object,재조회 의존,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].trDetail,source,API19_1,item,L-1,조교사 상세는 사전 정보지만 과거 재조회 시 최신 상태로 바뀔 수 있다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",당시 저장본만 허용하고 사후 재조회값은 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,horses[].chul_no,object,재조회 의존,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].jkStats,source,API11_1,item,L-1,기수 누적 통계는 사전 정보지만 재조회 오염 가능성이 있다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",당시 저장본만 허용하고 사후 재조회값은 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,horses[].chul_no,object,재조회 의존,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].owDetail,source,API14_1,item,L-1,마주 정보는 사전 정보지만 재조회 오염 가능성이 있다,"[""apps/api/services/kra_api_service.py"", ""apps/api/services/collection_service.py"", ""apps/api/services/race_processing_workflow.py""]",당시 저장본만 허용하고 사후 재조회값은 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,horses[].chul_no,object,재조회 의존,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].past_stats,derived,INTERNAL,db_client.get_past_top3_stats_for_race,L0,과거 경주 히스토리 파생은 기준 경주 이전 결과만 집계한다,"[""packages/scripts/feature_engineering.py"", ""packages/scripts/shared/db_client.py""]",현재 경주 결과를 참조하지 않고 당시 저장본 기준으로만 사용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",조건부 허용,ALLOW_STORED_ONLY,,object,불변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].win_odds,source,API214_1,winOdds,?,출전표 기본 카드에 존재하지만 공개 시점 실측이 아직 끝나지 않았다,"[""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",raw 저장과 연구는 허용하되 최종 운영 입력에서는 제외,pending_measurement,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",보류,HOLD,horses[].chul_no,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].plc_odds,source,API214_1,plcOdds,?,출전표 기본 카드에 존재하지만 공개 시점 실측이 아직 끝나지 않았다,"[""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md""]",raw 저장과 연구는 허용하되 최종 운영 입력에서는 제외,pending_measurement,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",보류,HOLD,horses[].chul_no,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,horses[].computed_features.odds_rank,derived,INTERNAL,win_odds -> odds_rank,?,odds 의존 파생은 원천 공개 시점 검증이 끝나기 전까지 보류한다,"[""docs/holdout-entry-finalization-rule.md"", ""docs/kra-race-lifecycle-timing-matrix.md"", ""packages/scripts/feature_engineering.py"", ""packages/scripts/shared/db_client.py""]",win_odds/plc_odds 검증 완료 전까지 운영 입력 금지,pending_measurement,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",보류,HOLD,,scalar,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,race_odds,label,API160_1|API301,item[],L+1,확정 배당은 결과 수집 경로에서만 적재된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",배당 블록 전체는 입력 금지,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,object,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,ord,label,API214_1,ord,L+1,결과 착순은 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,ordBigo,label,API214_1,ordBigo,L+1,결과 비고는 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,rankRise,label,API214_1,rankRise,L+1,결과 기반 순위 변동은 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,diffUnit,label,API214_1,diffUnit,L+1,도착 차는 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,rcTime,label,API214_1,rcTime,L+1,기록은 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,result,label,API214_1,result,L+1,결과 상태 필드는 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,resultTime,label,API214_1,resultTime,L+1,결과 기록 필드는 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,finish_position,label,API214_1,finish_position,L+1,결승 순위 필드는 결과 수집 후에만 의미가 생긴다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,dividend,label,API160_1|API301,dividend,L+1,확정 배당금은 결과 수집 경로에서만 적재된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,payout,label,API160_1|API301,payout,L+1,환급금은 결과 수집 경로에서만 적재된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",leaf key 기준 전역 차단,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",금지,BLOCK,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,top3,label,INTERNAL,result_data.top3,L+1,정답 라벨은 결과 확정 후 내부적으로만 계산된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",정답/평가 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",라벨 전용,LABEL_ONLY,,array,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,is_top3,label,INTERNAL,result_data.top3 -> membership,L+1,정답 라벨은 결과 확정 후 내부적으로만 계산된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",정답/평가 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",라벨 전용,LABEL_ONLY,,scalar,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,actual_result,label,INTERNAL,result_data,L+1,정답 라벨은 결과 확정 후 내부적으로만 계산된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",정답/평가 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",라벨 전용,LABEL_ONLY,,object,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,result_data,label,INTERNAL,result_data.*,L+1,결과 블록은 결과 수집 후에만 완성된다,"[""apps/api/services/result_collection_service.py"", ""packages/scripts/evaluation/leakage_checks.py""]",결과 블록 전체는 라벨/평가 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",라벨 전용,LABEL_ONLY,,object,사후 전용,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,snapshot_meta,metadata,INTERNAL,snapshot_meta.*,L0,홀드아웃 재생과 운영 감사용 내부 메타데이터,"[""packages/scripts/autoresearch/prepare.py"", ""packages/scripts/autoresearch/holdout_split.py""]",감사/운영 메타데이터 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",메타 전용,META_ONLY,,object,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,field_policy,metadata,INTERNAL,field_policy.*,L0,필드 필터링 리포트는 감사/운영 메타데이터다,"[""packages/scripts/shared/prerace_field_policy.py""]",감사/운영 메타데이터 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",메타 전용,META_ONLY,,object,가변,shared.prerace_field_metadata_schema,,
prerace-field-metadata-v1,source_field_tags,metadata,INTERNAL,source_field_tags.*,L0,수집 단계 원천 필드 태깅은 감사와 누수 점검용 메타데이터다,"[""apps/api/services/prerace_field_tagging.py""]",감사/운영 메타데이터 전용,documented,"[""docs/prerace-field-availability-judgment-rules.md"", ""docs/prerace-field-metadata-schema.md""]",메타 전용,META_ONLY,,object,가변,shared.prerace_field_metadata_schema,,
